Country,ISO-code,Symbol
Brazil,BRA,^BVSP
Argentina,ARG,^MERV
Chile,CHL,ECH
Colombia,COL,ICOL
Peru,PER,EPU
Mexico,MEX,^MXX
United States,USA,^GSPC
Canada,CAN,^GSPTSE
United Kingdom,GBR,ISF.L
Germany,DEU,^GDAXI
France,FRA,^FCHI
Portugal,PRT,PGAL
Spain,ESP,^IBEX
Italy,ITA,EWI
Switzerland,CHE,^SSMI
Poland,POL,^PTL
Norway,NOR,ENOR
Sweden,SWE,^OMX
Finland,FIN,^OMXH25
Greece,GRC,GREK
Russia,RUS,IMOEX.ME
Turkey,TUR,XU100.IS
Egypt,EGY,EGPT
Nigeria,NGA,NGE
South Africa,ZAF,JSE.JO
Saudi Arabia,SAU,KSA
UAE,ARE,UAE
Pakistan,PAK,PAK
India,IND,^NSEI
China,CHN,000001.SS
Japan,JPN,^N225
South Korea,KOR,EWY
Hong Kong,HKG,^HSI
Indonesia,IDN,^JKSE
Malaysia,MYS,EWM
Taiwan,TWN,^TWII
Vietnam,VNM,VNM
Thailand,THA,THD
Philippines,PHL,EPHE
Australia,AUS,STW.AX
New Zealand,NZL,^NZ50